Customer Key,Customer Name,Trader,Responsibility Center,Status,Date of Addition
C-1091,Customer 1091,Trader17,RC17,Canvassing,45383
C-1092,Customer 1092,Trader71,RC71,Active,45751
C-1093,Customer 1093,Trader38,RC38,Active,45282
C-1094,Customer 1094,Trader58,RC58,Active,45569
C-1095,Customer 1095,Trader41,RC41,Open,44927
C-1096,Customer 1096,Trader99,RC99,Canvassing,45282
C-1097,Customer 1097,Trader74,RC74,Canvassing,45510
C-1098,Customer 1098,Trader99,RC99,Active,45103
C-1099,Customer 1099,Trader20,RC20,Active,45282
C-11,Customer 11,Trader27,RC27,Active,45371
C-110,Customer 110,Trader99,RC99,Canvassing,45419
C-1100,Customer 1100,Trader29,RC29,Canvassing,45282
C-1101,Customer 1101,Trader20,RC20,Active,45541
C-1102,Customer 1102,Trader99,RC99,Canvassing,45419
C-1103,Customer 1103,Trader35,RC35,Canvassing,45419
C-1104,Customer 1104,Trader17,RC17,Open,44927
C-1105,Customer 1105,Trader40,RC40,Active,45673
C-1106,Customer 1106,Trader74,RC74,Active,45429
C-1107,Customer 1107,Trader42,RC42,Active,45282
C-1108,Customer 1108,Trader99,RC99,Canvassing,45419
C-1109,Customer 1109,Trader99,RC99,Canvassing,45419
C-111,Customer 111,Trader80,RC80,Canvassing,45419
C-1110,Customer 1110,Trader71,RC71,Canvassing,45419
C-1111,Customer 1111,Trader74,RC74,Active,45282
C-1112,Customer 1112,Trader99,RC99,Canvassing,45419
C-1113,Customer 1113,Trader26,RC26,Open,44927
C-1114,Customer 1114,Trader5,RC5,Active,45419
C-1115,Customer 1115,Trader30,RC30,Open,44927
C-1116,Customer 1116,Trader76,RC76,Canvassing,45419
C-1117,Customer 1117,Trader99,RC99,Blacklisted,45372
C-1118,Customer 1118,Trader58,RC58,Active,45371
C-1119,Customer 1119,Trader99,RC99,Canvassing,45419
C-112,Customer 112,Trader99,RC99,Canvassing,45282
C-1120,Customer 1120,Trader6,RC6,Active,45103
C-1121,Customer 1121,Trader26,RC26,Active,45282
C-1122,Customer 1122,Trader26,RC26,Active,45282
C-1123,Customer 1123,Trader99,RC99,Canvassing,45320
C-1124,Customer 1124,Trader20,RC20,Canvassing,45063
C-1125,Customer 1125,Trader5,RC5,Active,45538
C-1126,Customer 1126,Trader99,RC99,Canvassing,45063
C-1127,Customer 1127,Trader99,RC99,Canvassing,45419
C-1128,Customer 1128,Trader65,RC65,Canvassing,45282
C-1129,Customer 1129,Trader20,RC20,Active,45343
C-113,Customer 113,Trader26,RC26,Canvassing,45419
C-1130,Customer 1130,Trader81,RC81,Active,45282
C-1131,Customer 1131,Trader99,RC99,Canvassing,45282
C-1132,Customer 1132,Trader30,RC30,Open,44927
C-1133,Customer 1133,Trader99,RC99,Active,45063
C-1134,Customer 1134,Trader99,RC99,Canvassing,45439
C-1135,Customer 1135,Trader99,RC99,Canvassing,45450
C-1136,Customer 1136,Trader99,RC99,Active,45376
C-1137,Customer 1137,Trader99,RC99,Canvassing,45419
C-1138,Customer 1138,Trader52,RC52,Active,45282
C-1139,Customer 1139,Trader20,RC20,Active,45282
C-114,Customer 114,Trader51,RC51,Open,44927
C-1140,Customer 1140,Trader99,RC99,Canvassing,45282
C-1141,Customer 1141,Trader20,RC20,Active,45371
C-1142,Customer 1142,Trader22,RC22,Canvassing,45419
C-1143,Customer 1143,Trader99,RC99,Canvassing,45103
C-1144,Customer 1144,Trader32,RC32,Canvassing,45282
C-1145,Customer 1145,Trader42,RC42,Canvassing,45282
C-1146,Customer 1146,Trader52,RC52,Active,45419
C-1147,Customer 1147,Trader52,RC52,Active,45419
C-1148,Customer 1148,Trader52,RC52,Active,45371
C-1149,Customer 1149,Trader5,RC5,Open,44927
C-115,Customer 115,Trader80,RC80,Canvassing,45419
C-1150,Customer 1150,Trader5,RC5,Active,45376
C-1151,Customer 1151,Trader32,RC32,Active,45419
C-1152,Customer 1152,Trader27,RC27,Canvassing,45419
C-1153,Customer 1153,Trader52,RC52,Active,45282
C-1154,Customer 1154,Trader28,RC28,Canvassing,45282
C-1155,Customer 1155,Trader99,RC99,Canvassing,45097
C-1156,Customer 1156,Trader99,RC99,Canvassing,45282
C-1157,Customer 1157,Trader99,RC99,Canvassing,45063
C-1158,Customer 1158,Trader58,RC58,Canvassing,45419
C-1159,Customer 1159,Trader74,RC74,Canvassing,45419
C-116,Customer 116,Trader99,RC99,Dormant,45097
C-1160,Customer 1160,Trader99,RC99,Canvassing,45419
C-1161,Customer 1161,Trader5,RC5,Canvassing,45282
C-1162,Customer 1162,Trader99,RC99,Canvassing,45419
C-1163,Customer 1163,Trader99,RC99,Active,45098
C-1164,Customer 1164,Trader52,RC52,Canvassing,45419
C-1165,Customer 1165,Trader30,RC30,Open,44927
C-1166,Customer 1166,Trader58,RC58,Open,44927
C-1167,Customer 1167,Trader35,RC35,Canvassing,45419
C-1168,Customer 1168,Trader35,RC35,Canvassing,45419
C-1169,Customer 1169,Trader29,RC29,Canvassing,45419
C-117,Customer 117,Trader99,RC99,Canvassing,45419
C-1170,Customer 1170,Trader26,RC26,Canvassing,45282
C-1171,Customer 1171,Trader52,RC52,Open,44927
C-1172,Customer 1172,Trader52,RC52,Active,45282
C-1173,Customer 1173,Trader52,RC52,Open,44927
C-1174,Customer 1174,Trader99,RC99,Active,45063
C-1175,Customer 1175,Trader40,RC40,Active,45604
C-1176,Customer 1176,Trader26,RC26,Active,45282
C-1177,Customer 1177,Trader17,RC17,Active,45419
C-1178,Customer 1178,Trader58,RC58,Open,44927
C-1179,Customer 1179,Trader6,RC6,Canvassing,45063
C-118,Customer 118,Trader99,RC99,Canvassing,45419
C-1180,Customer 1180,Trader5,RC5,Canvassing,45419
C-1181,Customer 1181,Trader52,RC52,Open,44927
C-1182,Customer 1182,Trader52,RC52,Canvassing,45419
C-1183,Customer 1183,Trader52,RC52,Open,44927
C-1184,Customer 1184,Trader29,RC29,Canvassing,45419
C-1185,Customer 1185,Trader20,RC20,Active,45376
C-1186,Customer 1186,Trader52,RC52,Active,45372
C-1187,Customer 1187,Trader35,RC35,Canvassing,45419
C-1188,Customer 1188,Trader68,RC68,Active,45103
C-1189,Customer 1189,Trader58,RC58,Active,45103
C-119,Customer 119,Trader52,RC52,Active,45419
C-1190,Customer 1190,Trader20,RC20,Canvassing,45419
C-1191,Customer 1191,Trader65,RC65,Active,45419
C-1192,Customer 1192,Trader99,RC99,Canvassing,45419
C-1193,Customer 1193,Trader51,RC51,Active,45282
C-1194,Customer 1194,Trader1,RC1,Open,44927
C-1195,Customer 1195,Trader52,RC52,Active,45415
C-1196,Customer 1196,Trader20,RC20,Active,45282
C-1197,Customer 1197,Trader30,RC30,Open,44927
C-1198,Customer 1198,Trader38,RC38,Canvassing,45419
C-1199,Customer 1199,Trader30,RC30,Active,45282
C-12,Customer 12,Trader99,RC99,Canvassing,45419
C-120,Customer 120,Trader39,RC39,Canvassing,45419
C-1200,Customer 1200,Trader30,RC30,Open,44927
C-1201,Customer 1201,Trader74,RC74,Active,45286
C-1202,Customer 1202,Trader74,RC74,Canvassing,45342
C-1203,Customer 1203,Trader74,RC74,Active,45510
C-1204,Customer 1204,Trader99,RC99,Canvassing,45282
C-1205,Customer 1205,Trader28,RC28,Canvassing,45063
C-1206,Customer 1206,Trader52,RC52,Canvassing,45282
C-1207,Customer 1207,Trader38,RC38,Canvassing,45380
C-1208,Customer 1208,Trader74,RC74,Active,45282
C-1209,Customer 1209,Trader52,RC52,Canvassing,45419
C-121,Customer 121,Trader99,RC99,Canvassing,45419
C-1210,Customer 1210,Trader30,RC30,Open,44927
C-1211,Customer 1211,Trader42,RC42,Open,44927
C-1212,Customer 1212,Trader22,RC22,Active,45376
C-1213,Customer 1213,Trader27,RC27,Active,45470
C-1214,Customer 1214,Trader52,RC52,Canvassing,45419
C-1215,Customer 1215,Trader99,RC99,Canvassing,45419
C-1216,Customer 1216,Trader99,RC99,Canvassing,45419
C-1217,Customer 1217,Trader70,RC70,Canvassing,45419
C-1218,Customer 1218,Trader27,RC27,Canvassing,45282
C-1219,Customer 1219,Trader30,RC30,Open,44927
C-122,Customer 122,Trader80,RC80,Canvassing,45419
C-1220,Customer 1220,Trader52,RC52,Active,45282
C-1221,Customer 1221,Trader42,RC42,Active,45282
C-1222,Customer 1222,Trader74,RC74,Active,45371
C-1223,Customer 1223,Trader5,RC5,Canvassing,45282
C-1224,Customer 1224,Trader20,RC20,Active,45282
C-1225,Customer 1225,Trader20,RC20,Canvassing,45419
C-1226,Customer 1226,Trader17,RC17,Open,44927
C-1227,Customer 1227,Trader17,RC17,Open,44927
C-1228,Customer 1228,Trader52,RC52,Active,45604
C-1229,Customer 1229,Trader17,RC17,Canvassing,45342
C-123,Customer 123,Trader76,RC76,Canvassing,45419
C-1230,Customer 1230,Trader17,RC17,Open,44927
C-1231,Customer 1231,Trader30,RC30,Open,44927
C-1232,Customer 1232,Trader38,RC38,Canvassing,45282
C-1233,Customer 1233,Trader52,RC52,Active,45282
C-1234,Customer 1234,Trader26,RC26,Canvassing,45125
C-1235,Customer 1235,Trader20,RC20,Active,45125
C-1236,Customer 1236,Trader26,RC26,Open,44927
C-1237,Customer 1237,Trader99,RC99,Canvassing,45282
C-1238,Customer 1238,Trader20,RC20,Active,45282
C-1239,Customer 1239,Trader99,RC99,Open,45695
C-124,Customer 124,Trader99,RC99,Canvassing,45419
C-1240,Customer 1240,Trader52,RC52,Active,45624
C-1241,Customer 1241,Trader52,RC52,Canvassing,45282
C-1242,Customer 1242,Trader99,RC99,Canvassing,45419
C-1243,Customer 1243,Trader29,RC29,Canvassing,45282
C-1244,Customer 1244,Trader99,RC99,Canvassing,45419
C-1245,Customer 1245,Trader99,RC99,Active,45541
C-1246,Customer 1246,Trader20,RC20,Active,45551
C-1247,Customer 1247,Trader99,RC99,Canvassing,45282
C-1248,Customer 1248,Trader20,RC20,Active,45371
C-1249,Customer 1249,Trader26,RC26,Open,44927
C-125,Customer 125,Trader70,RC70,Canvassing,45419
C-1250,Customer 1250,Trader40,RC40,Active,45693
C-1251,Customer 1251,Trader58,RC58,Open,44927
C-1252,Customer 1252,Trader41,RC41,Active,45562
C-1253,Customer 1253,Trader42,RC42,Canvassing,45282
C-1254,Customer 1254,Trader42,RC42,Active,45282
C-1255,Customer 1255,Trader28,RC28,Active,45282
C-1256,Customer 1256,Trader52,RC52,Open,44927
C-1257,Customer 1257,Trader20,RC20,Active,45582
C-1258,Customer 1258,Trader32,RC32,Canvassing,45282
C-1259,Customer 1259,Trader26,RC26,Canvassing,45141
C-126,Customer 126,Trader99,RC99,Blacklisted,45419
C-1260,Customer 1260,Trader52,RC52,Canvassing,45091
C-1261,Customer 1261,Trader99,RC99,Canvassing,45419
C-1262,Customer 1262,Trader42,RC42,Canvassing,45419
C-1263,Customer 1263,Trader46,RC46,Active,45063
C-1264,Customer 1264,Trader30,RC30,Canvassing,45282
C-1265,Customer 1265,Trader51,RC51,Canvassing,45102
C-1266,Customer 1266,Trader52,RC52,Open,44927
C-1267,Customer 1267,Trader99,RC99,Canvassing,45282
C-1268,Customer 1268,Trader30,RC30,Open,44927
C-1269,Customer 1269,Trader99,RC99,Canvassing,45282
C-127,Customer 127,Trader99,RC99,Canvassing,45419
C-1270,Customer 1270,Trader99,RC99,Active,45371
C-1271,Customer 1271,Trader99,RC99,Active,45063
C-1272,Customer 1272,Trader1,RC1,Open,44927
C-1273,Customer 1273,Trader99,RC99,Canvassing,45282
C-1274,Customer 1274,Trader52,RC52,Canvassing,45334
C-1275,Customer 1275,Trader70,RC70,Active,45376
C-1276,Customer 1276,Trader39,RC39,Active,45419
C-1277,Customer 1277,Trader20,RC20,Canvassing,45419
C-1278,Customer 1278,Trader99,RC99,Active,45376
C-1279,Customer 1279,Trader99,RC99,Blacklisted,45419
C-128,Customer 128,Trader68,RC68,Canvassing,45419
C-1280,Customer 1280,Trader99,RC99,Active,45510
C-1281,Customer 1281,Trader99,RC99,Active,45371
C-1282,Customer 1282,Trader19,RC19,Open,44927
C-1283,Customer 1283,Trader99,RC99,Active,45371
C-1284,Customer 1284,Trader99,RC99,Canvassing,45139
C-1285,Customer 1285,Trader74,RC74,Canvassing,45419
C-1286,Customer 1286,Trader99,RC99,Canvassing,45434
C-1287,Customer 1287,Trader52,RC52,Active,45282
C-1288,Customer 1288,Trader74,RC74,Canvassing,45282
C-1289,Customer 1289,Trader20,RC20,Active,45376
C-129,Customer 129,Trader99,RC99,Canvassing,45282
C-1290,Customer 1290,Trader27,RC27,Active,45282
C-1291,Customer 1291,Trader99,RC99,Canvassing,45114
C-1292,Customer 1292,Trader99,RC99,Canvassing,45419
C-1293,Customer 1293,Trader74,RC74,Active,45376
C-1294,Customer 1294,Trader42,RC42,Canvassing,45419
C-1295,Customer 1295,Trader52,RC52,Active,45371
C-1296,Customer 1296,Trader99,RC99,Canvassing,45111
C-1297,Customer 1297,Trader58,RC58,Active,45419
C-1298,Customer 1298,Trader26,RC26,Open,44927
C-1299,Customer 1299,Trader99,RC99,Active,45282
C-13,Customer 13,Trader26,RC26,Canvassing,45282
C-130,Customer 130,Trader99,RC99,Canvassing,45464
C-1300,Customer 1300,Trader99,RC99,Canvassing,45419
C-1301,Customer 1301,Trader99,RC99,Canvassing,45419
C-1302,Customer 1302,Trader35,RC35,Active,45376
C-1303,Customer 1303,Trader52,RC52,Active,45758
C-1304,Customer 1304,Trader52,RC52,Canvassing,45419
C-1305,Customer 1305,Trader20,RC20,Active,45174
C-1306,Customer 1306,Trader20,RC20,Active,45282
C-1307,Customer 1307,Trader42,RC42,Canvassing,45282
C-1308,Customer 1308,Trader17,RC17,Active,45371
C-1309,Customer 1309,Trader20,RC20,Canvassing,45419
C-131,Customer 131,Trader70,RC70,Canvassing,45063
C-1310,Customer 1310,Trader20,RC20,Canvassing,45282
C-1311,Customer 1311,Trader42,RC42,Active,45377
C-1312,Customer 1312,Trader54,RC54,Active,45282
C-1313,Customer 1313,Trader6,RC6,Active,45376
C-1314,Customer 1314,Trader60,RC60,Open,44927
C-1315,Customer 1315,Trader35,RC35,Canvassing,45282
C-1316,Customer 1316,Trader71,RC71,Active,45381
C-1317,Customer 1317,Trader71,RC71,Canvassing,45419
C-1318,Customer 1318,Trader99,RC99,Active,45376
C-1319,Customer 1319,Trader32,RC32,Active,45282
C-132,Customer 132,Trader81,RC81,Canvassing,45419
C-1320,Customer 1320,Trader74,RC74,Canvassing,45419
C-1321,Customer 1321,Trader65,RC65,Canvassing,45419
C-1322,Customer 1322,Trader52,RC52,Open,44927
C-1323,Customer 1323,Trader27,RC27,Canvassing,45187
C-1324,Customer 1324,Trader26,RC26,Open,44927
C-1325,Customer 1325,Trader99,RC99,Active,45371
C-1326,Customer 1326,Trader99,RC99,Active,45372
C-1327,Customer 1327,Trader99,RC99,Canvassing,45336
C-1328,Customer 1328,Trader99,RC99,Canvassing,45282
C-1329,Customer 1329,Trader5,RC5,Canvassing,45282
C-133,Customer 133,Trader99,RC99,Canvassing,45419
C-1330,Customer 1330,Trader99,RC99,Canvassing,45282
C-1331,Customer 1331,Trader38,RC38,Active,45376
C-1332,Customer 1332,Trader99,RC99,Active,45376
C-1333,Customer 1333,Trader20,RC20,Canvassing,45282
C-1334,Customer 1334,Trader65,RC65,Open,44927
C-1335,Customer 1335,Trader42,RC42,Open,44927
C-1336,Customer 1336,Trader99,RC99,Canvassing,45282
C-1337,Customer 1337,Trader52,RC52,Open,45691
C-1338,Customer 1338,Trader32,RC32,Dormant,45419
C-1339,Customer 1339,Trader70,RC70,Active,45282
C-134,Customer 134,Trader99,RC99,Canvassing,45419
C-1340,Customer 1340,Trader99,RC99,Canvassing,45282
C-1341,Customer 1341,Trader52,RC52,Canvassing,45510
C-1342,Customer 1342,Trader73,RC73,Canvassing,45282
C-1343,Customer 1343,Trader60,RC60,Canvassing,45282
C-1344,Customer 1344,Trader99,RC99,Active,45371
C-1345,Customer 1345,Trader99,RC99,Canvassing,45419
C-1346,Customer 1346,Trader52,RC52,Open,44927
C-1347,Customer 1347,Trader42,RC42,Canvassing,45419
C-1348,Customer 1348,Trader71,RC71,Active,45419
C-1349,Customer 1349,Trader99,RC99,Canvassing,45282
C-135,Customer 135,Trader99,RC99,Canvassing,45419
C-1350,Customer 1350,Trader99,RC99,Active,45322
C-1351,Customer 1351,Trader74,RC74,Active,45282
C-1352,Customer 1352,Trader32,RC32,Active,45133
C-1353,Customer 1353,Trader52,RC52,Open,44927
C-1354,Customer 1354,Trader19,RC19,Canvassing,45282
C-1355,Customer 1355,Trader5,RC5,Canvassing,45419
C-1356,Customer 1356,Trader99,RC99,Active,45215
C-1357,Customer 1357,Trader99,RC99,Active,45371
C-1358,Customer 1358,Trader38,RC38,Active,45371
C-1359,Customer 1359,Trader70,RC70,Active,45488
C-136,Customer 136,Trader40,RC40,Canvassing,45419
C-1360,Customer 1360,Trader32,RC32,Canvassing,45282
C-1361,Customer 1361,Trader20,RC20,Canvassing,45419
C-1362,Customer 1362,Trader52,RC52,Open,44927
C-1363,Customer 1363,Trader47,RC47,Canvassing,45510
C-1364,Customer 1364,Trader42,RC42,Active,45419
C-1365,Customer 1365,Trader99,RC99,Active,45377
C-1366,Customer 1366,Trader20,RC20,Canvassing,45419
C-1367,Customer 1367,Trader99,RC99,Canvassing,45282
C-1368,Customer 1368,Trader99,RC99,Active,45315
C-1369,Customer 1369,Trader70,RC70,Canvassing,45441
C-137,Customer 137,Trader99,RC99,Open,45691
C-1370,Customer 1370,Trader65,RC65,Canvassing,45383
C-1371,Customer 1371,Trader65,RC65,Canvassing,45419
C-1372,Customer 1372,Trader99,RC99,Canvassing,45419
C-1373,Customer 1373,Trader81,RC81,Active,45322
C-1374,Customer 1374,Trader46,RC46,Canvassing,45282
C-1375,Customer 1375,Trader42,RC42,Active,45371
C-1376,Customer 1376,Trader58,RC58,Open,44927
C-1377,Customer 1377,Trader26,RC26,Active,45547
C-1378,Customer 1378,Trader81,RC81,Canvassing,45282
C-1379,Customer 1379,Trader99,RC99,Active,45063
C-138,Customer 138,Trader5,RC5,Canvassing,45103
C-1380,Customer 1380,Trader52,RC52,Canvassing,45510
C-1381,Customer 1381,Trader68,RC68,Active,45282
C-1382,Customer 1382,Trader99,RC99,Active,45282
C-1383,Customer 1383,Trader11,RC11,Canvassing,45419
C-1384,Customer 1384,Trader99,RC99,Canvassing,45295
C-1385,Customer 1385,Trader46,RC46,Canvassing,45419
C-1386,Customer 1386,Trader99,RC99,Canvassing,45419
C-1387,Customer 1387,Trader1,RC1,Open,44927
C-1388,Customer 1388,Trader28,RC28,Blacklisted,45282
C-1389,Customer 1389,Trader52,RC52,Open,44927
C-139,Customer 139,Trader99,RC99,Canvassing,45282
C-1390,Customer 1390,Trader26,RC26,Active,45342
C-1391,Customer 1391,Trader17,RC17,Open,44927
C-1392,Customer 1392,Trader99,RC99,Canvassing,45282
C-1393,Customer 1393,Trader26,RC26,Canvassing,45282
C-1394,Customer 1394,Trader60,RC60,Open,44927
C-1395,Customer 1395,Trader99,RC99,Canvassing,45282
C-1396,Customer 1396,Trader99,RC99,Active,45419
C-1397,Customer 1397,Trader26,RC26,Open,44927
C-1398,Customer 1398,Trader52,RC52,Open,44927
C-1399,Customer 1399,Trader20,RC20,Active,45419
C-14,Customer 14,Trader26,RC26,Canvassing,45097
C-140,Customer 140,Trader17,RC17,Canvassing,45097
C-1400,Customer 1400,Trader32,RC32,Canvassing,45419
C-1401,Customer 1401,Trader52,RC52,Active,45282
C-1402,Customer 1402,Trader99,RC99,Open,45687
C-1403,Customer 1403,Trader65,RC65,Active,45103
C-1404,Customer 1404,Trader20,RC20,Canvassing,45419
C-1405,Customer 1405,Trader1,RC1,Open,44927
C-1406,Customer 1406,Trader46,RC46,Canvassing,45314
C-1407,Customer 1407,Trader52,RC52,Open,44927
C-1408,Customer 1408,Trader99,RC99,Canvassing,45419
C-1409,Customer 1409,Trader73,RC73,Active,45376
C-141,Customer 141,Trader99,RC99,Canvassing,45419
C-1410,Customer 1410,Trader99,RC99,Canvassing,45419
C-1411,Customer 1411,Trader17,RC17,Canvassing,45419
C-1412,Customer 1412,Trader99,RC99,Canvassing,45419
C-1413,Customer 1413,Trader52,RC52,Canvassing,45334
C-1414,Customer 1414,Trader53,RC53,Open,44927
C-1415,Customer 1415,Trader73,RC73,Canvassing,45314
C-1416,Customer 1416,Trader71,RC71,Canvassing,45419
C-1417,Customer 1417,Trader74,RC74,Active,45419
C-1418,Customer 1418,Trader74,RC74,Active,45532
C-1419,Customer 1419,Trader52,RC52,Active,45282
C-142,Customer 142,Trader27,RC27,Canvassing,45282
C-1420,Customer 1420,Trader5,RC5,Canvassing,45351
C-1421,Customer 1421,Trader99,RC99,Canvassing,45419
C-1422,Customer 1422,Trader99,RC99,Open,45691
C-1423,Customer 1423,Trader52,RC52,Canvassing,45282
C-1424,Customer 1424,Trader42,RC42,Canvassing,45419
C-1425,Customer 1425,Trader60,RC60,Canvassing,45282
C-1426,Customer 1426,Trader42,RC42,Active,45371
C-1427,Customer 1427,Trader65,RC65,Active,45419
C-1428,Customer 1428,Trader99,RC99,Canvassing,45132
C-1429,Customer 1429,Trader26,RC26,Canvassing,45419
C-143,Customer 143,Trader51,RC51,Canvassing,45282
C-1430,Customer 1430,Trader99,RC99,Active,45282
C-1431,Customer 1431,Trader42,RC42,Active,45419
C-1432,Customer 1432,Trader20,RC20,Canvassing,45419
C-1433,Customer 1433,Trader74,RC74,Active,45434
C-1434,Customer 1434,Trader32,RC32,Canvassing,45419
C-1435,Customer 1435,Trader99,RC99,Blacklisted,45282
C-1436,Customer 1436,Trader99,RC99,Active,45371
C-1437,Customer 1437,Trader99,RC99,Open,45695
C-1438,Customer 1438,Trader65,RC65,Active,45377
C-1439,Customer 1439,Trader99,RC99,Canvassing,45419
C-144,Customer 144,Trader20,RC20,Canvassing,45419
