Status,Deal Type,Enquiry No.,Team Name,Trader PIC,Deal No.,Deal Date,Volume,Customer Key,Customer Name
Completed,Bunker,ENQ21176,Team4,Trader5,DEAL00707,12/22/2025,96.9,C-676,Customer 676
Completed,Bunker,ENQ01411,Team1,Trader71,DEAL08398,12/22/2025,108,C-643,Customer 643
Pending,Paper,ENQ14418,Team8,Trader35,DEAL07083,12/22/2025,69,C-1992,Customer 1992
Completed,Bunker,ENQ12777,Team5,Trader74,DEAL07815,12/22/2025,303.5,C-1730,Customer 1730
Completed,Bunker,ENQ01770,Team1,Trader12,DEAL05550,12/22/2025,31,C-1513,Customer 1513
Completed,Bunker,ENQ07374,Team1,Trader58,DEAL03578,12/22/2025,624.736,C-1331,Customer 1331
Completed,Bunker,ENQ05967,Team1,Trader58,DEAL01296,12/21/2025,429.781,C-965,Customer 965
Completed,Bunker,ENQ15452,Team4,Trader26,DEAL06057,12/21/2025,364.456,C-322,Customer 322
Completed,Bunker,ENQ19866,Team8,Trader36,DEAL02030,12/21/2025,248.781,C-306,Customer 306
Completed,Bunker,ENQ04515,Team1,Trader70,DEAL08081,12/21/2025,69.792,C-2046,Customer 2046
Completed,Bunker,ENQ12454,Team1,Trader58,DEAL06281,12/21/2025,66,C-167,Customer 167
Completed,Bunker,ENQ06834,Team99,Trader48,DEAL05031,12/21/2025,270.43,C-1169,Customer 1169
Completed,Bunker,ENQ03728,Team8,Trader36,DEAL01620,12/20/2025,227.88,C-306,Customer 306
Completed,Bunker,ENQ01373,Team4,Trader26,DEAL03784,12/20/2025,67,C-262,Customer 262
Completed,Bunker,ENQ07851,Team8,Trader36,DEAL04256,12/20/2025,150.888,C-232,Customer 232
Completed,Bunker,ENQ04763,Team99,Trader6,DEAL08228,12/20/2025,126,C-2130,Customer 2130
Invoice Sent,Bunker,ENQ12194,Team8,Trader77,DEAL06940,12/20/2025,452.27843,C-1980,Customer 1980
Pending,Paper,ENQ18313,Team2,Trader40,DEAL07588,12/20/2025,13,C-1886,Customer 1886
Completed,Bunker,ENQ12976,Team12,Trader64,DEAL04775,12/20/2025,95.237,C-1311,Customer 1311
Completed,Bunker,ENQ04211,Team2,Trader40,DEAL08229,12/20/2025,390,C-1175,Customer 1175
Completed,Bunker,ENQ03349,Team1,Trader58,DEAL05761,12/20/2025,17,C-1054,Customer 1054
Completed,Bunker,ENQ18187,Team99,Trader51,DEAL07730,12/19/2025,315.148,C-971,Customer 971
Completed,Bunker,ENQ04768,Team99,Trader65,DEAL06035,12/19/2025,286,C-83,Customer 83
Completed,Bunker,ENQ04193,Team4,Trader26,DEAL04316,12/19/2025,93,C-658,Customer 658
Completed,Bunker,ENQ20271,Team10,Trader44,DEAL04506,12/19/2025,77,C-620,Customer 620
Completed,Bunker,ENQ19819,Team4,Trader5,DEAL02637,12/19/2025,270.093,C-344,Customer 344
Completed,Bunker,ENQ16792,Team1,Trader71,DEAL02063,12/19/2025,57,C-263,Customer 263
Completed,Bunker,ENQ20858,Team10,Trader44,DEAL00369,12/19/2025,160.17,C-237,Customer 237
Completed,Bunker,ENQ11809,Team10,Trader44,DEAL01330,12/18/2025,253.771,C-843,Customer 843
Completed,Bunker,ENQ18718,Team4,Trader5,DEAL02231,12/18/2025,322,C-676,Customer 676
Completed,Bunker,ENQ15636,Team4,Trader5,DEAL02052,12/18/2025,93,C-676,Customer 676
Completed,Bunker,ENQ07364,Team99,Trader6,DEAL08057,12/18/2025,206,C-1974,Customer 1974
Completed,Bunker,ENQ20586,Team4,Trader26,DEAL00089,12/17/2025,454,C-62,Customer 62
Completed,Bunker,ENQ21063,Team4,Trader26,DEAL00585,12/17/2025,108.9356,C-271,Customer 271
Completed,Bunker,ENQ02395,Team4,Trader26,DEAL05532,12/17/2025,427.331,C-1170,Customer 1170
Completed,Cargoes (B2B),ENQ11790,Team99,Trader41,DEAL04035,12/17/2025,68,C-1142,Customer 1142
Completed,Bunker,ENQ21677,Team10,Trader44,DEAL01979,12/16/2025,134.805,C-805,Customer 805
Completed,Bunker,ENQ04779,Team1,Trader58,DEAL04744,12/16/2025,49.47,C-727,Customer 727
Completed,Bunker,ENQ05374,Team4,Trader5,DEAL04818,12/16/2025,46,C-676,Customer 676
Completed,Bunker,ENQ11085,Team4,Trader5,DEAL02974,12/16/2025,592.744,C-642,Customer 642
Completed,Bunker,ENQ11660,Team2,Trader38,DEAL07908,12/16/2025,115.898,C-2101,Customer 2101
Cancelled,Bunker,ENQ19681,Team99,Trader51,DEAL06766,12/16/2025,15,C-1763,Customer 1763
Completed,Bunker,ENQ06892,Team1,Trader58,DEAL05463,12/15/2025,202.01,C-941,Customer 941
Completed,Bunker,ENQ04336,Team4,Trader5,DEAL02327,12/15/2025,382,C-676,Customer 676
Completed,Bunker,ENQ02591,Team8,Trader77,DEAL07550,12/15/2025,105.8,C-2076,Customer 2076
Completed,Bunker,ENQ06662,Team8,Trader36,DEAL02187,12/15/2025,745.867,C-106,Customer 106
Completed,Bunker,ENQ15805,Team99,Trader51,DEAL07533,12/14/2025,165.996,C-971,Customer 971
Completed,Bunker,ENQ04913,Team1,Trader19,DEAL03892,12/14/2025,55.666,C-712,Customer 712
Completed,Bunker,ENQ14955,Team1,Trader15,DEAL02131,12/14/2025,365.032,C-545,Customer 545
Completed,Bunker,ENQ13991,Team99,Trader6,DEAL07971,12/14/2025,551.318,C-2021,Customer 2021
Invoice Received,Bunker,ENQ18734,Team6,Trader20,DEAL08943,12/14/2025,198.612,C-1765,Customer 1765
Completed,Bunker,ENQ02743,Team8,Trader52,DEAL08639,12/14/2025,120,C-1713,Customer 1713
Completed,Bunker,ENQ00583,Team4,Trader26,DEAL07414,12/14/2025,171,C-322,Customer 322
Completed,Bunker,ENQ17867,Team4,Trader26,DEAL07587,12/14/2025,124,C-2080,Customer 2080
Completed,Bunker,ENQ11568,Team1,Trader10,DEAL03491,12/14/2025,211.55,C-1109,Customer 1109
Cancelled,Bunker,ENQ20277,Team7,Trader55,DEAL04637,12/14/2025,75,C-1090,Customer 1090
Completed,Bunker,ENQ20623,Team8,Trader36,DEAL00126,12/14/2025,389.971,C-106,Customer 106
Completed,Bunker,ENQ18782,Team2,Trader22,DEAL08272,12/13/2025,23,C-937,Customer 937
Completed,Bunker,ENQ15311,Team4,Trader23,DEAL02792,12/13/2025,72,C-879,Customer 879
Completed,Bunker,ENQ14156,Team1,Trader71,DEAL08748,12/13/2025,496.903,C-858,Customer 858
Completed,Bunker,ENQ16297,Team4,Trader5,DEAL00925,12/13/2025,84,C-676,Customer 676
Pending,Bunker,ENQ18499,Team8,Trader8,DEAL07733,12/13/2025,39,C-338,Customer 338
Completed,Bunker,ENQ09548,Team10,Trader44,DEAL03197,12/12/2025,309,C-880,Customer 880
Completed,Bunker,ENQ21076,Team8,Trader36,DEAL00599,12/12/2025,188,C-689,Customer 689
Completed,Bunker,ENQ11845,Team1,Trader58,DEAL02079,12/12/2025,390.929,C-687,Customer 687
Completed,Bunker,ENQ21302,Team4,Trader5,DEAL00840,12/12/2025,86,C-676,Customer 676
Completed,Bunker,ENQ21584,Team1,Trader15,DEAL01878,12/12/2025,435,C-259,Customer 259
Completed,Bunker,ENQ05213,Team4,Trader5,DEAL04994,12/12/2025,624.862,C-1150,Customer 1150
Completed,Bunker,ENQ02396,Team4,Trader5,DEAL04904,12/12/2025,160.045,C-1150,Customer 1150
Completed,Bunker,ENQ16206,Team1,Trader71,DEAL05226,12/11/2025,2276.586,C-1276,Customer 1276
Completed,Interest,ENQ07583,Team1,Trader58,DEAL04952,12/11/2025,23,C-1189,Customer 1189
Completed,Bunker,ENQ15989,Team4,Trader5,DEAL00951,12/10/2025,86,C-676,Customer 676
Completed,Bunker,ENQ13643,Team1,Trader71,DEAL08230,12/10/2025,924,C-643,Customer 643
Completed,Bunker,ENQ08516,Team4,Trader26,DEAL02303,12/10/2025,92.993,C-262,Customer 262
Completed,Bunker,ENQ08271,Team1,Trader47,DEAL06301,12/10/2025,106,C-1536,Customer 1536
Completed,Bunker,ENQ12157,Team4,Trader5,DEAL05218,12/10/2025,558.767,C-1150,Customer 1150
Completed,Bunker,ENQ10419,Team1,Trader53,DEAL02310,12/10/2025,155.522,C-1086,Customer 1086
Completed,Bunker,ENQ10769,Team1,Trader10,DEAL03413,12/10/2025,61.919,C-1084,Customer 1084
Completed,Bunker,ENQ10817,Team2,Trader40,DEAL08522,12/9/2025,577,C-1977,Customer 1977
Completed,Bunker,ENQ01314,Team2,Trader22,DEAL07888,12/9/2025,181,C-1512,Customer 1512
Completed,Bunker,ENQ12506,Team4,Trader26,DEAL08421,12/9/2025,355,C-322,Customer 322
Completed,Bunker,ENQ01903,Team4,Trader5,DEAL06605,12/9/2025,532.582,C-1150,Customer 1150
Completed,Bunker,ENQ11064,Team2,Trader46,DEAL06656,12/9/2025,38,C-1090,Customer 1090
Completed,Bunker,ENQ04592,Team99,Trader65,DEAL04450,12/8/2025,1404,C-838,Customer 838
Completed,Physical,ENQ18112,Team99,Trader65,DEAL07224,12/8/2025,480,C-797,Customer 797
Completed,Bunker,ENQ08445,Team1,Trader15,DEAL01247,12/8/2025,52,C-697,Customer 697
Completed,Bunker,ENQ08705,Team8,Trader36,DEAL02942,12/8/2025,46,C-242,Customer 242
Pending,Paper,ENQ13754,Team2,Trader40,DEAL07577,12/8/2025,21,C-1992,Customer 1992
Completed,Interest,ENQ19734,Team1,Trader58,DEAL07472,12/8/2025,12,C-167,Customer 167
Completed,Bunker,ENQ19009,Team12,Trader64,DEAL04599,12/8/2025,138.813,C-1400,Customer 1400
Completed,Bunker,ENQ13402,Team99,Trader48,DEAL03097,12/8/2025,18.98,C-1235,Customer 1235
Completed,Bunker,ENQ09787,Team8,Trader36,DEAL03407,12/8/2025,103,C-1114,Customer 1114
Completed,Bunker,ENQ18916,Team99,Trader65,DEAL04591,12/7/2025,611.71,C-83,Customer 83
Completed,Bunker,ENQ14923,Team10,Trader44,DEAL03241,12/7/2025,777.378,C-776,Customer 776
Completed,Bunker,ENQ02321,Team10,Trader44,DEAL02503,12/7/2025,537,C-620,Customer 620
Completed,Bunker,ENQ01136,Team1,Trader73,DEAL08082,12/7/2025,64.034,C-1815,Customer 1815
Completed,Bunker,ENQ08434,Team99,Trader25,DEAL03484,12/6/2025,865.2,C-714,Customer 714
Completed,Bunker,ENQ18815,Team4,Trader39,DEAL07436,12/6/2025,113.3,C-253,Customer 253
Invoice Sent,Cargoes (B2B),ENQ19149,Team6,Trader20,DEAL07523,12/6/2025,44,C-1619,Customer 1619
Interest,Interest,ENQ20378,Team7,Trader55,DEAL01789,12/6/2025,72,C-147,Customer 147
Completed,Bunker,ENQ11022,Team6,Trader20,DEAL06989,12/6/2025,121,C-1366,Customer 1366
Completed,Bunker,ENQ20303,Team7,Trader55,DEAL05062,12/6/2025,106,C-1290,Customer 1290
Cancelled,Bunker,ENQ00999,Team1,Trader63,DEAL06080,12/6/2025,40,C-1286,Customer 1286
Cancelled,Bunker,ENQ04184,Team1,Trader71,DEAL08516,12/5/2025,44,C-858,Customer 858
Completed,Bunker,ENQ05113,Team99,Trader65,DEAL08222,12/5/2025,911.292,C-83,Customer 83
Completed,Bunker,ENQ12716,Team4,Trader5,DEAL01144,12/5/2025,333,C-676,Customer 676
Oilmar Invoiced,Bunker,ENQ20220,Team99,Trader65,DEAL03950,12/5/2025,483,C-620,Customer 620
Completed,Bunker,ENQ10659,Team99,Trader41,DEAL03315,12/5/2025,3006.466,C-1142,Customer 1142
Pending,Bunker,ENQ08575,Team6,Trader20,DEAL08980,12/5/2025,948,C-1052,Customer 1052
Completed,Bunker,ENQ20382,Team10,Trader44,DEAL01864,12/4/2025,26,C-730,Customer 730
Completed,Bunker,ENQ12395,Team4,Trader5,DEAL05348,12/4/2025,316,C-676,Customer 676
Completed,Bunker,ENQ09475,Team8,Trader52,DEAL05875,12/4/2025,902,C-620,Customer 620
Completed,Bunker,ENQ02393,Team8,Trader77,DEAL07909,12/4/2025,46.9,C-2076,Customer 2076
Completed,Bunker,ENQ04600,Team1,Trader60,DEAL06031,12/4/2025,400.095,C-1313,Customer 1313
Completed,Bunker,ENQ02446,Team4,Trader5,DEAL07207,12/4/2025,157.75,C-1150,Customer 1150
Completed,Bunker,ENQ04615,Team8,Trader36,DEAL01174,12/3/2025,117.563,C-73,Customer 73
Pending,Paper,ENQ01310,Team2,Trader40,DEAL07267,12/3/2025,61,C-1992,Customer 1992
Completed,Bunker,ENQ04451,Team1,Trader71,DEAL02575,12/3/2025,221,C-1817,Customer 1817
Completed,Bunker,ENQ02654,Team4,Trader5,DEAL06680,12/2/2025,118.69,C-738,Customer 738
Completed,Bunker,ENQ13201,Team10,Trader44,DEAL01126,12/2/2025,216.816,C-726,Customer 726
Completed,Bunker,ENQ12504,Team1,Trader19,DEAL04849,12/2/2025,79.328,C-712,Customer 712
Completed,Bunker,ENQ00054,Team1,Trader58,DEAL03855,12/2/2025,104,C-687,Customer 687
Completed,Bunker,ENQ01594,Team1,Trader15,DEAL02627,12/2/2025,969.798,C-259,Customer 259
Completed,Bunker,ENQ12705,Team2,Trader22,DEAL06878,12/2/2025,174,C-1956,Customer 1956
Completed,Bunker,ENQ00069,Team99,Trader51,DEAL06145,12/2/2025,151.995,C-147,Customer 147
Completed,Bunker,ENQ07809,Team1,Trader58,DEAL05844,12/2/2025,548.951,C-1358,Customer 1358
Completed,Bunker,ENQ10260,Team8,Trader36,DEAL04516,12/2/2025,115,C-1114,Customer 1114
Completed,Bunker,ENQ15673,Team4,Trader26,DEAL02759,12/1/2025,239,C-1121,Customer 1121
Cancelled,Bunker,ENQ20353,Team1,Trader19,DEAL06574,11/30/2025,78,C-971,Customer 971
Completed,Bunker,ENQ14317,Team4,Trader5,DEAL06459,11/30/2025,391,C-676,Customer 676
Completed,Bunker,ENQ02967,Team8,Trader36,DEAL03481,11/30/2025,1309.934,C-207,Customer 207
Completed,Bunker,ENQ16612,Team99,Trader25,DEAL01627,11/29/2025,742,C-774,Customer 774
Completed,Bunker,ENQ05872,Team10,Trader44,DEAL00884,11/28/2025,108,C-618,Customer 618
Completed,Bunker,ENQ15851,Team4,Trader26,DEAL06088,11/28/2025,80.927,C-322,Customer 322
Completed,Bunker,ENQ11472,Team8,Trader36,DEAL03600,11/28/2025,483.1,C-306,Customer 306
Completed,Bunker,ENQ11659,Team4,Trader39,DEAL07218,11/28/2025,545.5,C-253,Customer 253
Cancelled,Physical,ENQ04923,Team2,Trader40,DEAL08325,11/28/2025,60,C-2067,Customer 2067
Completed,Bunker,ENQ01818,Team8,Trader52,DEAL07929,11/28/2025,135,C-1854,Customer 1854
Completed,Bunker,ENQ01428,Team12,Trader64,DEAL03662,11/28/2025,255.567,C-1338,Customer 1338
Completed,Bunker,ENQ18931,Team10,Trader44,DEAL05081,11/28/2025,563,C-1284,Customer 1284
Completed,Bunker,ENQ11016,Team4,Trader5,DEAL04072,11/28/2025,415.875,C-1150,Customer 1150
Completed,Bunker,ENQ02934,Team4,Trader5,DEAL07229,11/28/2025,821.731,C-1150,Customer 1150
Completed,Bunker,ENQ03699,Team1,Trader58,DEAL01464,11/28/2025,135.966,C-1003,Customer 1003
Completed,Bunker,ENQ01217,Team99,Trader25,DEAL01338,11/27/2025,115.76,C-971,Customer 971
Completed,Bunker,ENQ12335,Team10,Trader44,DEAL02837,11/27/2025,497,C-782,Customer 782
Completed,Bunker,ENQ20860,Team8,Trader36,DEAL00372,11/27/2025,385.563,C-73,Customer 73
Completed,Bunker,ENQ05685,Team8,Trader36,DEAL02275,11/27/2025,49,C-306,Customer 306
Completed,Bunker,ENQ20978,Team8,Trader36,DEAL00494,11/27/2025,125.942,C-306,Customer 306
Completed,Bunker,ENQ08956,Team1,Trader71,DEAL03640,11/27/2025,77.156,C-263,Customer 263
Completed,Bunker,ENQ14806,Team1,Trader47,DEAL05328,11/27/2025,128,C-1581,Customer 1581
Completed,Bunker,ENQ01497,Team8,Trader52,DEAL05798,11/27/2025,170.121,C-1433,Customer 1433
Completed,Bunker,ENQ01892,Team1,Trader71,DEAL07552,11/27/2025,67,C-1092,Customer 1092
Completed,Bunker,ENQ12036,Team4,Trader5,DEAL08212,11/26/2025,30.8,C-839,Customer 839
Completed,Bunker,ENQ05491,Team99,Trader48,DEAL04575,11/26/2025,132.031,C-1289,Customer 1289
Completed,Bunker,ENQ03263,Team1,Trader53,DEAL02208,11/26/2025,953,C-1056,Customer 1056
Completed,Bunker,ENQ08349,Team4,Trader5,DEAL01565,11/25/2025,871,C-943,Customer 943
Completed,Bunker,ENQ20822,Team10,Trader44,DEAL00328,11/25/2025,99.92,C-423,Customer 423
Completed,Cargoes (B2B),ENQ08309,Team4,Trader56,DEAL05807,11/25/2025,8894.774,C-329,Customer 329
Completed,Bunker,ENQ08335,Team4,Trader39,DEAL07636,11/25/2025,84.25,C-253,Customer 253
Completed,Bunker,ENQ03167,Team99,Trader6,DEAL08189,11/25/2025,199.844,C-1974,Customer 1974
Pending,Paper,ENQ09196,Team2,Trader40,DEAL07633,11/25/2025,76,C-1788,Customer 1788
Completed,Bunker,ENQ07956,Team3,Trader29,DEAL08021,11/25/2025,117,C-1101,Customer 1101
Completed,Bunker,ENQ17247,Team8,Trader36,DEAL04612,11/25/2025,44,C-1035,Customer 1035
Completed,Bunker,ENQ21508,Team4,Trader5,DEAL01793,11/24/2025,257.188,C-79,Customer 79
Completed,Bunker,ENQ03286,Team1,Trader71,DEAL06717,11/24/2025,1079.1,C-352,Customer 352
Completed,Bunker,ENQ04218,Team4,Trader26,DEAL02040,11/24/2025,79,C-262,Customer 262
Completed,Bunker,ENQ07099,Team6,Trader20,DEAL08443,11/24/2025,166.771,C-1765,Customer 1765
Completed,Bunker,ENQ02911,Team99,Trader41,DEAL03603,11/23/2025,824.197,C-937,Customer 937
Completed,Bunker,ENQ03317,Team10,Trader44,DEAL02109,11/23/2025,1056.25,C-919,Customer 919
Completed,Bunker,ENQ04361,Team99,Trader6,DEAL08523,11/23/2025,292.666,C-2100,Customer 2100
Completed,Bunker,ENQ00513,Team7,Trader62,DEAL04029,11/23/2025,235.093,C-1034,Customer 1034
Completed,Physical,ENQ14779,Team2,Trader40,DEAL06947,11/22/2025,108,C-1788,Customer 1788
Completed,Bunker,ENQ20876,Team1,Trader53,DEAL00388,11/22/2025,100,C-1778,Customer 1778
Completed,Bunker,ENQ10697,Team10,Trader44,DEAL04214,11/21/2025,770,C-75,Customer 75
Others,Others,ENQ20416,Team8,Trader36,DEAL01891,11/21/2025,6,C-740,Customer 740
Completed,Bunker,ENQ09706,Team4,Trader5,DEAL04009,11/21/2025,532.983,C-676,Customer 676
Completed,Bunker,ENQ08298,Team4,Trader5,DEAL03404,11/21/2025,365,C-676,Customer 676
Cancelled,Bunker,ENQ09325,Team2,Trader40,DEAL06456,11/21/2025,75,C-1866,Customer 1866
Completed,Physical,ENQ05161,Team2,Trader40,DEAL08490,11/21/2025,169,C-1791,Customer 1791
Completed,Bunker,ENQ09576,Team5,Trader11,DEAL05289,11/21/2025,373.167,C-1383,Customer 1383
Completed,Bunker,ENQ02960,Team1,Trader10,DEAL03717,11/21/2025,385.5,C-1059,Customer 1059
Completed,Bunker,ENQ18785,Team8,Trader36,DEAL04305,11/20/2025,178,C-73,Customer 73
Completed,Bunker,ENQ03096,Team8,Trader36,DEAL02725,11/20/2025,93,C-728,Customer 728
Completed,Bunker,ENQ21368,Team1,Trader15,DEAL01470,11/20/2025,171,C-620,Customer 620
Completed,Bunker,ENQ05202,Team12,Trader64,DEAL04628,11/20/2025,64.4,C-1478,Customer 1478
Completed,Bunker,ENQ11556,Team99,Trader25,DEAL03985,11/20/2025,890.666,C-1382,Customer 1382
Completed,Bunker,ENQ16511,Team5,Trader42,DEAL08696,11/20/2025,88.45729657,C-1307,Customer 1307
Completed,Physical,ENQ16310,Team4,Trader5,DEAL06581,11/19/2025,644,C-955,Customer 955
Completed,Bunker,ENQ02182,Team99,Trader65,DEAL03105,11/19/2025,155.142,C-83,Customer 83
Completed,Bunker,ENQ09791,Team1,Trader19,DEAL04383,11/19/2025,927.25,C-812,Customer 812
Trade-H,Trade-H,ENQ20459,Team10,Trader44,DEAL01406,11/19/2025,84,C-618,Customer 618
Completed,Bunker,ENQ02117,Team99,Trader48,DEAL05097,11/19/2025,264.21,C-1540,Customer 1540
Completed,Bunker,ENQ03134,Team6,Trader20,DEAL06291,11/19/2025,57.953,C-1059,Customer 1059
Completed,Bunker,ENQ13808,Team1,Trader58,DEAL03493,11/18/2025,66.565,C-864,Customer 864
Completed,Bunker,ENQ02969,Team99,Trader65,DEAL05332,11/18/2025,1315,C-83,Customer 83
Completed,Bunker,ENQ14480,Team4,Trader26,DEAL06341,11/18/2025,812.167,C-322,Customer 322
Completed,Bunker,ENQ04199,Team1,Trader10,DEAL03382,11/18/2025,561,C-1059,Customer 1059
Completed,Bunker,ENQ21189,Team1,Trader53,DEAL00721,11/17/2025,37.998,C-869,Customer 869
Completed,Bunker,ENQ07463,Team10,Trader44,DEAL03027,11/17/2025,1573.935,C-843,Customer 843
Completed,Bunker,ENQ20780,Team8,Trader99,DEAL00286,11/17/2025,188,C-618,Customer 618
Completed,Bunker,ENQ04453,Team99,Trader48,DEAL04973,11/17/2025,431.95,C-422,Customer 422
Completed,Bunker,ENQ09401,Team10,Trader44,DEAL04044,11/17/2025,166.004,C-1284,Customer 1284
Completed,Bunker,ENQ05455,Team1,Trader53,DEAL02149,11/17/2025,42,C-1050,Customer 1050
Completed,Bunker,ENQ03207,Team99,Trader65,DEAL05704,11/16/2025,69,C-83,Customer 83
