Deal No.,Status,Deal Created,Enquiry Date,Trader,Responsibility Center,Customer Key,Customer Name
ENQ00025,Fixed,TRUE,11/13/2024,Trader26,RC26,C-322,Customer 322
ENQ00026,Fixed,TRUE,2/27/2024,Trader26,RC26,C-322,Customer 322
ENQ00033,Fixed,TRUE,3/30/2024,Trader58,RC58,C-687,Customer 687
ENQ00034,Fixed,TRUE,8/21/2021,Trader58,RC58,C-687,Customer 687
ENQ00038,Lost,FALSE,11/30/2024,Trader52,RC52,C-1287,Customer 1287
ENQ00039,Fixed,TRUE,2/28/2020,Trader52,RC52,C-1147,Customer 1147
ENQ00035,Fixed,TRUE,2/20/2020,Trader5,RC5,C-676,Customer 676
ENQ00032,Fixed,TRUE,4/17/2020,Trader44,RC44,C-849,Customer 849
ENQ00036,Lost,FALSE,9/27/2023,Trader42,RC42,C-327,Customer 327
ENQ00031,Lost,FALSE,8/24/2020,Trader41,RC41,C-916,Customer 916
ENQ00037,Lost,FALSE,11/1/2020,Trader17,RC17,C-211,Customer 211
ENQ00041,Fixed,TRUE,1/14/2021,Trader65,RC65,C-89,Customer 89
ENQ00048,Fixed,TRUE,12/25/2020,Trader65,RC65,C-1975,Customer 1975
ENQ00046,Fixed,TRUE,2/21/2025,Trader58,RC58,C-257,Customer 257
ENQ00040,Fixed,TRUE,5/26/2021,Trader52,RC52,C-926,Customer 926
ENQ00050,Fixed,TRUE,8/28/2022,Trader52,RC52,C-1563,Customer 1563
ENQ00044,Fixed,TRUE,10/23/2021,Trader5,RC5,C-676,Customer 676
ENQ00049,Lost,FALSE,7/22/2024,Trader5,RC5,C-1626,Customer 1626
ENQ00042,Lost,FALSE,2/29/2020,Trader47,RC47,C-889,Customer 889
ENQ00047,Lost,FALSE,12/13/2024,Trader28,RC28,C-2137,Customer 2137
ENQ00051,Lost,FALSE,6/4/2022,Trader26,RC26,C-1017,Customer 1017
ENQ00043,Lost,FALSE,12/20/2025,Trader19,RC19,C-711,Customer 711
ENQ00045,Fixed,TRUE,4/19/2021,Trader17,RC17,C-371,Customer 371
ENQ00057,Fixed,TRUE,4/27/2020,Trader74,RC74,C-2070,Customer 2070
ENQ00055,Lost,FALSE,2/7/2024,Trader71,RC71,C-673,Customer 673
ENQ00062,Lost,FALSE,7/26/2023,Trader71,RC71,C-1316,Customer 1316
ENQ00058,Lost,FALSE,11/15/2023,Trader68,RC68,C-1773,Customer 1773
ENQ00054,Fixed,TRUE,5/1/2023,Trader58,RC58,C-687,Customer 687
ENQ00061,Lost,FALSE,8/25/2021,Trader52,RC52,C-1351,Customer 1351
ENQ00056,Lost,FALSE,10/1/2022,Trader36,RC36,C-306,Customer 306
ENQ00059,Lost,FALSE,6/27/2024,Trader27,RC27,C-1689,Customer 1689
ENQ00052,Fixed,TRUE,11/19/2020,Trader25,RC25,C-971,Customer 971
ENQ00053,Lost,FALSE,2/4/2024,Trader23,RC23,C-904,Customer 904
ENQ00060,Lost,FALSE,7/6/2025,Trader17,RC17,C-1485,Customer 1485
ENQ00066,Fixed,TRUE,3/27/2022,Trader74,RC74,C-2237,Customer 2237
ENQ00069,Fixed,TRUE,3/18/2023,Trader51,RC51,C-147,Customer 147
ENQ00064,Lost,FALSE,5/1/2023,Trader5,RC5,C-643,Customer 643
ENQ00067,Fixed,TRUE,4/15/2022,Trader5,RC5,C-1626,Customer 1626
ENQ00071,Lost,FALSE,4/3/2020,Trader5,RC5,C-1150,Customer 1150
ENQ00065,Lost,FALSE,9/7/2022,Trader36,RC36,C-357,Customer 357
ENQ00070,Lost,FALSE,7/4/2022,Trader23,RC23,C-1436,Customer 1436
ENQ00063,Lost,FALSE,6/18/2022,Trader19,RC19,C-812,Customer 812
ENQ00068,Lost,FALSE,8/6/2020,Trader14,RC14,C-1550,Customer 1550
ENQ00077,Lost,FALSE,11/26/2025,Trader71,RC71,C-232,Customer 232
ENQ00081,Fixed,TRUE,3/15/2025,Trader60,RC60,C-1343,Customer 1343
ENQ00073,Lost,FALSE,5/5/2024,Trader58,RC58,C-687,Customer 687
ENQ00075,Declined,FALSE,8/26/2021,Trader58,RC58,C-674,Customer 674
ENQ00079,Lost,FALSE,1/1/2022,Trader58,RC58,C-2015,Customer 2015
ENQ00080,Declined,FALSE,1/24/2024,Trader51,RC51,C-1781,Customer 1781
ENQ00074,Fixed,TRUE,11/4/2024,Trader5,RC5,C-676,Customer 676
ENQ00076,Lost,FALSE,11/23/2023,Trader5,RC5,C-642,Customer 642
ENQ00082,Lost,FALSE,7/25/2023,Trader4,RC4,C-1056,Customer 1056
ENQ00072,Lost,FALSE,1/29/2024,Trader36,RC36,C-701,Customer 701
ENQ00078,Lost,FALSE,8/18/2024,Trader17,RC17,C-211,Customer 211
ENQ00083,Fixed,TRUE,12/20/2023,Trader58,RC58,C-674,Customer 674
ENQ00086,Lost,FALSE,7/15/2025,Trader51,RC51,C-1776,Customer 1776
ENQ00088,Lost,FALSE,3/1/2022,Trader47,RC47,C-1524,Customer 1524
ENQ00085,Lost,FALSE,10/31/2020,Trader46,RC46,C-1856,Customer 1856
ENQ00089,Lost,FALSE,12/3/2020,Trader34,RC34,C-1270,Customer 1270
ENQ00084,Lost,FALSE,11/9/2021,Trader26,RC26,C-322,Customer 322
ENQ00087,Fixed,TRUE,10/14/2021,Trader26,RC26,C-1600,Customer 1600
ENQ00090,Lost,FALSE,10/2/2020,Trader51,RC51,C-860,Customer 860
ENQ00091,Lost,FALSE,2/15/2021,Trader5,RC5,C-79,Customer 79
ENQ00092,Fixed,TRUE,1/15/2023,Trader5,RC5,C-676,Customer 676
ENQ00097,Lost,FALSE,1/27/2023,Trader36,RC36,C-1026,Customer 1026
ENQ00094,Fixed,TRUE,4/21/2025,Trader29,RC29,C-1498,Customer 1498
ENQ00095,Lost,FALSE,7/15/2024,Trader19,RC19,C-1406,Customer 1406
ENQ00096,Lost,FALSE,6/17/2020,Trader19,RC19,C-1406,Customer 1406
ENQ00093,Lost,FALSE,1/10/2021,Trader15,RC15,C-291,Customer 291
ENQ00098,Lost,FALSE,6/18/2023,Trader70,RC70,C-2181,Customer 2181
ENQ00101,Lost,FALSE,8/1/2022,Trader68,RC68,C-1609,Customer 1609
ENQ00099,Fixed,TRUE,7/7/2024,Trader6,RC6,C-1878,Customer 1878
ENQ00102,Lost,FALSE,2/25/2021,Trader53,RC53,C-1086,Customer 1086
ENQ00103,Lost,FALSE,9/3/2020,Trader36,RC36,C-106,Customer 106
ENQ00100,Lost,FALSE,9/5/2022,Trader27,RC27,C-1689,Customer 1689
ENQ00109,Fixed,TRUE,6/16/2021,Trader7,RC7,C-1039,Customer 1039
ENQ00104,Lost,FALSE,2/3/2022,Trader65,RC65,C-83,Customer 83
ENQ00105,Fixed,TRUE,7/29/2024,Trader5,RC5,C-676,Customer 676
ENQ00107,Declined,FALSE,4/7/2022,Trader48,RC48,C-1310,Customer 1310
ENQ00108,Fixed,TRUE,3/5/2025,Trader44,RC44,C-1284,Customer 1284
ENQ00106,Fixed,TRUE,3/18/2023,Trader39,RC39,C-253,Customer 253
ENQ00117,Lost,FALSE,3/3/2021,Trader52,RC52,C-1260,Customer 1260
ENQ00119,Lost,FALSE,7/18/2023,Trader52,RC52,C-1183,Customer 1183
ENQ00115,Lost,FALSE,8/18/2023,Trader51,RC51,C-1882,Customer 1882
ENQ00110,Lost,FALSE,11/10/2022,Trader5,RC5,C-955,Customer 955
ENQ00120,Lost,FALSE,8/20/2025,Trader48,RC48,C-1169,Customer 1169
ENQ00114,Fixed,TRUE,7/30/2024,Trader46,RC46,C-1991,Customer 1991
ENQ00116,Lost,FALSE,1/24/2020,Trader29,RC29,C-1469,Customer 1469
ENQ00118,Lost,FALSE,2/27/2022,Trader28,RC28,C-1255,Customer 1255
ENQ00111,Fixed,TRUE,5/2/2020,Trader26,RC26,C-779,Customer 779
ENQ00112,Fixed,TRUE,3/13/2025,Trader26,RC26,C-369,Customer 369
ENQ00113,Lost,FALSE,5/6/2022,Trader26,RC26,C-262,Customer 262
ENQ00121,Lost,FALSE,12/19/2021,Trader17,RC17,C-1024,Customer 1024
ENQ00126,Fixed,TRUE,9/28/2022,Trader48,RC48,C-1192,Customer 1192
ENQ00123,Fixed,TRUE,2/25/2025,Trader44,RC44,C-990,Customer 990
ENQ00127,Lost,FALSE,10/24/2022,Trader42,RC42,C-1107,Customer 1107
ENQ00124,Fixed,TRUE,3/4/2020,Trader26,RC26,C-734,Customer 734
ENQ00125,Lost,FALSE,11/8/2022,Trader26,RC26,C-369,Customer 369
ENQ00128,Lost,FALSE,1/30/2025,Trader17,RC17,C-1024,Customer 1024
ENQ00122,Lost,FALSE,2/7/2025,Trader11,RC11,C-9999,Customer 9999
ENQ00138,Fixed,TRUE,4/9/2023,Trader65,RC65,C-1070,Customer 1070
ENQ00133,Fixed,TRUE,5/9/2023,Trader5,RC5,C-676,Customer 676
ENQ00135,Lost,FALSE,9/4/2025,Trader5,RC5,C-1114,Customer 1114
ENQ00134,Fixed,TRUE,9/28/2021,Trader36,RC36,C-242,Customer 242
ENQ00129,Lost,FALSE,9/3/2021,Trader32,RC32,C-9999,Customer 9999
ENQ00130,Lost,FALSE,9/7/2020,Trader26,RC26,C-939,Customer 939
ENQ00131,Lost,FALSE,11/6/2023,Trader26,RC26,C-725,Customer 725
ENQ00132,Fixed,TRUE,9/20/2022,Trader25,RC25,C-700,Customer 700
ENQ00136,Lost,FALSE,10/16/2021,Trader21,RC21,C-1086,Customer 1086
ENQ00137,Lost,FALSE,4/23/2020,Trader10,RC10,C-1079,Customer 1079
ENQ00139,Fixed,TRUE,2/9/2021,Trader58,RC58,C-727,Customer 727
ENQ00145,Fixed,TRUE,12/12/2025,Trader58,RC58,C-1094,Customer 1094
ENQ00142,Lost,FALSE,4/13/2025,Trader52,RC52,C-1518,Customer 1518
ENQ00143,Lost,FALSE,1/18/2021,Trader52,RC52,C-1433,Customer 1433
ENQ00144,Lost,FALSE,1/26/2024,Trader52,RC52,C-1287,Customer 1287
ENQ00140,Lost,FALSE,3/9/2025,Trader44,RC44,C-189,Customer 189
ENQ00141,Fixed,TRUE,12/31/2024,Trader34,RC34,C-1631,Customer 1631
ENQ00146,Fixed,TRUE,6/3/2025,Trader26,RC26,C-1020,Customer 1020
ENQ00149,Lost,FALSE,8/19/2020,Trader65,RC65,C-784,Customer 784
ENQ00152,Lost,FALSE,10/10/2020,Trader58,RC58,C-257,Customer 257
ENQ00154,Lost,FALSE,9/25/2023,Trader58,RC58,C-2089,Customer 2089
ENQ00147,Fixed,TRUE,4/2/2023,Trader52,RC52,C-926,Customer 926
ENQ00159,Lost,FALSE,6/25/2021,Trader52,RC52,C-1159,Customer 1159
ENQ00157,Lost,FALSE,2/1/2023,Trader48,RC48,C-1366,Customer 1366
ENQ00156,Fixed,TRUE,1/2/2024,Trader42,RC42,C-1426,Customer 1426
ENQ00160,Fixed,TRUE,9/29/2020,Trader40,RC40,C-1105,Customer 1105
ENQ00151,Fixed,TRUE,10/3/2022,Trader36,RC36,C-357,Customer 357
ENQ00153,Lost,FALSE,2/2/2021,Trader36,RC36,C-232,Customer 232
ENQ00158,Lost,FALSE,1/2/2022,Trader36,RC36,C-1180,Customer 1180
ENQ00150,Fixed,TRUE,1/4/2023,Trader25,RC25,C-777,Customer 777
ENQ00148,Fixed,TRUE,1/3/2020,Trader19,RC19,C-812,Customer 812
ENQ00155,Fixed,TRUE,11/21/2020,Trader18,RC18,C-1565,Customer 1565
ENQ00161,Lost,FALSE,2/13/2024,Trader17,RC17,C-1024,Customer 1024
ENQ00171,Fixed,TRUE,3/7/2022,Trader71,RC71,C-1110,Customer 1110
ENQ00170,Lost,FALSE,7/2/2025,Trader64,RC64,C-1294,Customer 1294
ENQ00162,Lost,FALSE,11/23/2022,Trader53,RC53,C-9999,Customer 9999
ENQ00169,Fixed,TRUE,7/17/2020,Trader52,RC52,C-1419,Customer 1419
ENQ00167,Lost,FALSE,1/31/2020,Trader51,RC51,C-1776,Customer 1776
ENQ00172,Fixed,TRUE,1/20/2025,Trader44,RC44,C-1059,Customer 1059
ENQ00166,Fixed,TRUE,7/8/2025,Trader40,RC40,C-1866,Customer 1866
ENQ00165,Lost,FALSE,4/17/2020,Trader27,RC27,C-1869,Customer 1869
ENQ00163,Lost,FALSE,12/2/2022,Trader26,RC26,C-322,Customer 322
ENQ00164,Lost,FALSE,1/15/2025,Trader26,RC26,C-271,Customer 271
ENQ00168,Lost,FALSE,6/5/2023,Trader17,RC17,C-1483,Customer 1483
ENQ00175,Fixed,TRUE,9/10/2020,Trader71,RC71,C-673,Customer 673
ENQ00178,Fixed,TRUE,8/11/2020,Trader71,RC71,C-1316,Customer 1316
ENQ00173,Lost,FALSE,2/1/2023,Trader61,RC61,C-902,Customer 902
ENQ00174,Fixed,TRUE,8/27/2020,Trader58,RC58,C-687,Customer 687
ENQ00177,Lost,FALSE,3/21/2021,Trader52,RC52,C-1351,Customer 1351
ENQ00176,Lost,FALSE,6/1/2021,Trader5,RC5,C-1626,Customer 1626
ENQ00180,Fixed,TRUE,1/1/2023,Trader58,RC58,C-942,Customer 942
ENQ00189,Fixed,TRUE,8/20/2025,Trader58,RC58,C-1094,Customer 1094
ENQ00187,Lost,FALSE,4/27/2024,Trader52,RC52,C-1433,Customer 1433
ENQ00188,Lost,FALSE,9/4/2025,Trader47,RC47,C-1285,Customer 1285
ENQ00181,Fixed,TRUE,7/28/2023,Trader44,RC44,C-843,Customer 843
ENQ00182,Fixed,TRUE,5/28/2021,Trader41,RC41,C-243,Customer 243
ENQ00186,Lost,FALSE,3/22/2023,Trader32,RC32,C-1609,Customer 1609
ENQ00179,Lost,FALSE,3/21/2020,Trader26,RC26,C-9999,Customer 9999
ENQ00183,Lost,FALSE,7/17/2020,Trader26,RC26,C-189,Customer 189
ENQ00184,Lost,FALSE,1/12/2022,Trader26,RC26,C-1875,Customer 1875
ENQ00185,Lost,FALSE,12/10/2021,Trader26,RC26,C-185,Customer 185
ENQ00198,Lost,FALSE,9/4/2024,Trader7,RC7,C-1435,Customer 1435
ENQ00192,Lost,FALSE,9/11/2024,Trader65,RC65,C-83,Customer 83
ENQ00193,Lost,FALSE,8/13/2023,Trader65,RC65,C-83,Customer 83
ENQ00201,Lost,FALSE,8/14/2021,Trader62,RC62,C-1101,Customer 1101
ENQ00202,Fixed,TRUE,8/17/2021,Trader53,RC53,C-1050,Customer 1050
ENQ00200,Lost,FALSE,12/13/2025,Trader52,RC52,C-1287,Customer 1287
ENQ00194,Lost,FALSE,2/27/2022,Trader5,RC5,C-642,Customer 642
ENQ00195,Lost,FALSE,3/22/2021,Trader5,RC5,C-344,Customer 344
ENQ00197,Lost,FALSE,11/12/2023,Trader44,RC44,C-216,Customer 216
ENQ00196,Fixed,TRUE,3/26/2022,Trader26,RC26,C-322,Customer 322
ENQ00190,Fixed,TRUE,9/17/2022,Trader25,RC25,C-971,Customer 971
ENQ00199,Lost,FALSE,10/16/2021,Trader21,RC21,C-1316,Customer 1316
ENQ00191,Lost,FALSE,3/9/2022,Trader17,RC17,C-902,Customer 902
ENQ00208,Fixed,TRUE,3/18/2023,Trader71,RC71,C-1092,Customer 1092
ENQ00205,Lost,FALSE,8/4/2024,Trader52,RC52,C-752,Customer 752
ENQ00207,Lost,FALSE,7/31/2022,Trader52,RC52,C-1517,Customer 1517
ENQ00206,Lost,FALSE,8/17/2024,Trader48,RC48,C-363,Customer 363
ENQ00204,Lost,FALSE,10/9/2024,Trader44,RC44,C-919,Customer 919
ENQ00210,Declined,FALSE,11/15/2023,Trader26,RC26,C-1020,Customer 1020
ENQ00209,Fixed,TRUE,8/25/2024,Trader20,RC20,C-1052,Customer 1052
ENQ00203,Lost,FALSE,10/26/2021,Trader17,RC17,C-9999,Customer 9999
ENQ00227,Lost,FALSE,10/24/2024,Trader71,RC71,C-1092,Customer 1092
ENQ00220,Lost,FALSE,4/3/2025,Trader65,RC65,C-188,Customer 188
ENQ00211,Lost,FALSE,10/24/2024,Trader61,RC61,C-902,Customer 902
ENQ00225,Lost,FALSE,6/1/2023,Trader61,RC61,C-1274,Customer 1274
ENQ00215,Fixed,TRUE,11/21/2022,Trader60,RC60,C-625,Customer 625
ENQ00223,Fixed,TRUE,11/23/2023,Trader52,RC52,C-1517,Customer 1517
ENQ00224,Lost,FALSE,9/4/2024,Trader52,RC52,C-1287,Customer 1287
ENQ00222,Lost,FALSE,3/18/2020,Trader51,RC51,C-1824,Customer 1824
ENQ00213,Lost,FALSE,5/3/2024,Trader5,RC5,C-676,Customer 676
ENQ00214,Fixed,TRUE,1/15/2021,Trader5,RC5,C-676,Customer 676
ENQ00216,Lost,FALSE,4/26/2025,Trader42,RC42,C-327,Customer 327
ENQ00228,Lost,FALSE,2/14/2021,Trader4,RC4,C-1013,Customer 1013
ENQ00226,Lost,FALSE,2/18/2023,Trader36,RC36,C-1125,Customer 1125
ENQ00219,Lost,FALSE,11/25/2025,Trader35,RC35,C-1951,Customer 1951
ENQ00218,Fixed,TRUE,7/1/2021,Trader29,RC29,C-1995,Customer 1995
ENQ00217,Fixed,TRUE,11/1/2023,Trader26,RC26,C-322,Customer 322
ENQ00221,Lost,FALSE,6/15/2021,Trader20,RC20,C-1837,Customer 1837
ENQ00212,Lost,FALSE,11/25/2020,Trader19,RC19,C-885,Customer 885
ENQ00229,Lost,FALSE,7/7/2022,Trader71,RC71,C-352,Customer 352
ENQ00230,Lost,FALSE,6/6/2020,Trader71,RC71,C-352,Customer 352
ENQ00240,Fixed,TRUE,6/18/2022,Trader71,RC71,C-106,Customer 106
ENQ00237,Fixed,TRUE,12/17/2021,Trader54,RC54,C-1312,Customer 1312
ENQ00235,Lost,FALSE,5/20/2020,Trader52,RC52,C-1759,Customer 1759
ENQ00239,Fixed,TRUE,10/13/2021,Trader5,RC5,C-1150,Customer 1150
ENQ00238,Fixed,TRUE,6/20/2022,Trader44,RC44,C-1236,Customer 1236
ENQ00234,Lost,FALSE,7/2/2025,Trader29,RC29,C-1818,Customer 1818
ENQ00231,Lost,FALSE,10/3/2025,Trader26,RC26,C-262,Customer 262
ENQ00236,Lost,FALSE,1/12/2022,Trader26,RC26,C-1465,Customer 1465
ENQ00241,Lost,FALSE,10/30/2021,Trader20,RC20,C-1052,Customer 1052
ENQ00232,Lost,FALSE,2/2/2022,Trader17,RC17,C-211,Customer 211
ENQ00233,Fixed,TRUE,12/15/2025,Trader17,RC17,C-211,Customer 211
ENQ00242,Fixed,TRUE,3/17/2020,Trader65,RC65,C-83,Customer 83
ENQ00249,Fixed,TRUE,3/31/2024,Trader64,RC64,C-1281,Customer 1281
ENQ00250,Lost,FALSE,10/5/2025,Trader63,RC63,C-1151,Customer 1151
ENQ00254,Fixed,TRUE,8/15/2024,Trader53,RC53,C-1077,Customer 1077
ENQ00248,Lost,FALSE,2/6/2021,Trader51,RC51,C-1781,Customer 1781
ENQ00243,Fixed,TRUE,11/1/2023,Trader5,RC5,C-676,Customer 676
ENQ00251,Fixed,TRUE,10/21/2024,Trader5,RC5,C-1150,Customer 1150
ENQ00252,Fixed,TRUE,5/12/2020,Trader5,RC5,C-1150,Customer 1150
ENQ00247,Lost,FALSE,1/31/2021,Trader32,RC32,C-2174,Customer 2174
ENQ00245,Lost,FALSE,11/19/2020,Trader26,RC26,C-322,Customer 322
ENQ00246,Fixed,TRUE,10/28/2023,Trader26,RC26,C-271,Customer 271
ENQ00244,Lost,FALSE,1/8/2023,Trader10,RC10,C-610,Customer 610
ENQ00253,Lost,FALSE,11/30/2024,Trader10,RC10,C-1093,Customer 1093
ENQ00259,Fixed,TRUE,5/27/2025,Trader77,RC77,C-2076,Customer 2076
ENQ00265,Fixed,TRUE,5/2/2022,Trader62,RC62,C-1087,Customer 1087
ENQ00262,Lost,FALSE,6/29/2024,Trader52,RC52,C-1228,Customer 1228
ENQ00264,Fixed,TRUE,11/21/2022,Trader5,RC5,C-1150,Customer 1150
ENQ00260,Fixed,TRUE,1/15/2023,Trader40,RC40,C-1791,Customer 1791
ENQ00261,Lost,FALSE,1/26/2022,Trader39,RC39,C-1276,Customer 1276
ENQ00263,Fixed,TRUE,4/26/2020,Trader39,RC39,C-120,Customer 120
ENQ00256,Fixed,TRUE,3/21/2021,Trader26,RC26,C-841,Customer 841
ENQ00257,Fixed,TRUE,8/30/2021,Trader26,RC26,C-262,Customer 262
ENQ00258,Fixed,TRUE,6/4/2021,Trader26,RC26,C-262,Customer 262
ENQ00255,Lost,FALSE,7/27/2021,Trader23,RC23,C-926,Customer 926
ENQ00268,Lost,FALSE,5/28/2025,Trader71,RC71,C-675,Customer 675
ENQ00269,Lost,FALSE,8/29/2023,Trader71,RC71,C-673,Customer 673
ENQ00278,Fixed,TRUE,9/4/2021,Trader7,RC7,C-1043,Customer 1043
ENQ00272,Fixed,TRUE,9/7/2023,Trader52,RC52,C-1520,Customer 1520
ENQ00273,Fixed,TRUE,12/13/2023,Trader52,RC52,C-1518,Customer 1518
ENQ00274,Lost,FALSE,7/17/2024,Trader52,RC52,C-1287,Customer 1287
ENQ00276,Lost,FALSE,4/12/2021,Trader52,RC52,C-1186,Customer 1186
ENQ00266,Fixed,TRUE,7/14/2020,Trader5,RC5,C-981,Customer 981
ENQ00275,Lost,FALSE,11/22/2022,Trader48,RC48,C-1248,Customer 1248
ENQ00271,Lost,FALSE,5/16/2022,Trader47,RC47,C-1801,Customer 1801
ENQ00270,Lost,FALSE,11/11/2021,Trader46,RC46,C-362,Customer 362
ENQ00277,Lost,FALSE,7/13/2024,Trader36,RC36,C-106,Customer 106
ENQ00267,Fixed,TRUE,12/22/2022,Trader15,RC15,C-812,Customer 812
ENQ00279,Lost,FALSE,4/24/2022,Trader14,RC14,C-1039,Customer 1039
ENQ00284,Fixed,TRUE,5/24/2020,Trader7,RC7,C-1537,Customer 1537
ENQ00281,Lost,FALSE,12/27/2022,Trader5,RC5,C-970,Customer 970
ENQ00287,Lost,FALSE,3/5/2022,Trader5,RC5,C-1086,Customer 1086
ENQ00280,Lost,FALSE,6/10/2021,Trader47,RC47,C-9999,Customer 9999
ENQ00286,Fixed,TRUE,2/14/2023,Trader40,RC40,C-1105,Customer 1105
ENQ00285,Fixed,TRUE,2/8/2025,Trader39,RC39,C-120,Customer 120
ENQ00282,Lost,FALSE,7/20/2023,Trader26,RC26,C-939,Customer 939
ENQ00283,Fixed,TRUE,1/31/2024,Trader25,RC25,C-785,Customer 785
ENQ00298,Lost,FALSE,8/3/2021,Trader71,RC71,C-1092,Customer 1092
ENQ00295,Fixed,TRUE,11/30/2024,Trader63,RC63,C-1470,Customer 1470
ENQ00294,Lost,FALSE,6/12/2025,Trader58,RC58,C-167,Customer 167
ENQ00297,Lost,FALSE,10/2/2020,Trader52,RC52,C-1287,Customer 1287
ENQ00289,Fixed,TRUE,6/7/2024,Trader5,RC5,C-643,Customer 643
ENQ00291,Lost,FALSE,12/17/2022,Trader42,RC42,C-429,Customer 429
ENQ00292,Lost,FALSE,4/9/2022,Trader36,RC36,C-357,Customer 357
ENQ00299,Fixed,TRUE,7/21/2021,Trader36,RC36,C-106,Customer 106
ENQ00290,Fixed,TRUE,9/9/2025,Trader26,RC26,C-620,Customer 620
ENQ00300,Lost,FALSE,6/9/2020,Trader20,RC20,C-1052,Customer 1052
ENQ00288,Fixed,TRUE,10/20/2025,Trader19,RC19,C-712,Customer 712
ENQ00296,Fixed,TRUE,1/22/2021,Trader19,RC19,C-1467,Customer 1467
ENQ00293,Lost,FALSE,5/27/2023,Trader17,RC17,C-211,Customer 211
ENQ00307,Lost,FALSE,5/14/2020,Trader65,RC65,C-1370,Customer 1370
ENQ00305,Lost,FALSE,5/25/2021,Trader63,RC63,C-347,Customer 347
ENQ00303,Lost,FALSE,1/25/2025,Trader52,RC52,C-926,Customer 926
ENQ00302,Lost,FALSE,10/25/2022,Trader5,RC5,C-955,Customer 955
ENQ00301,Fixed,TRUE,7/10/2020,Trader41,RC41,C-967,Customer 967
ENQ00306,Fixed,TRUE,7/20/2020,Trader29,RC29,C-1920,Customer 1920
ENQ00304,Lost,FALSE,4/5/2025,Trader19,RC19,C-812,Customer 812
ENQ00308,Lost,FALSE,6/18/2023,Trader18,RC18,C-1184,Customer 1184
ENQ00311,Fixed,TRUE,5/8/2021,Trader76,RC76,C-2227,Customer 2227
ENQ00314,Lost,FALSE,3/23/2025,Trader71,RC71,C-1092,Customer 1092
ENQ00313,Lost,FALSE,9/27/2022,Trader5,RC5,C-1626,Customer 1626
ENQ00312,Fixed,TRUE,3/30/2023,Trader47,RC47,C-2059,Customer 2059
ENQ00309,Fixed,TRUE,2/15/2022,Trader19,RC19,C-885,Customer 885
ENQ00310,Lost,FALSE,8/24/2021,Trader17,RC17,C-231,Customer 231
ENQ00320,Fixed,TRUE,10/15/2022,Trader65,RC65,C-1117,Customer 1117
ENQ00318,Fixed,TRUE,9/24/2024,Trader47,RC47,C-1925,Customer 1925
ENQ00316,Lost,FALSE,11/17/2024,Trader44,RC44,C-841,Customer 841
ENQ00317,Lost,FALSE,10/7/2022,Trader42,RC42,C-293,Customer 293
ENQ00319,Fixed,TRUE,8/28/2023,Trader40,RC40,C-1175,Customer 1175
ENQ00315,Lost,FALSE,10/2/2020,Trader23,RC23,C-879,Customer 879
